instance,run,n_job,n_tries,e_min,initial_average,final_average,prob_opt,lowest_energy_iteration,lowest_energy_prob_iteration
tai20_5_4.fsp,3,4,1,479,485.126953125,479.046875,0.9970703125,,
tai20_5_4.fsp,3,4,2,479,499.033203125,479.3671875,0.9296875,479.0,0.9970703125
tai20_5_4.fsp,3,4,3,479,499.5546875,479.046875,1.0,479.0,0.9970703125
tai20_5_4.fsp,3,4,4,479,499.89453125,482.2109375,0.5185546875,479.0,1.0
tai20_5_4.fsp,3,4,5,479,501.115234375,479.90234375,0.849609375,479.0,1.0
tai20_5_4.fsp,3,4,6,479,506.822265625,484.787109375,0.107421875,479.0,1.0
tai20_5_4.fsp,3,4,7,479,507.6875,479.005859375,0.998046875,479.0,1.0
tai20_5_4.fsp,3,4,8,479,508.908203125,479.029296875,0.99609375,479.0,1.0
tai20_5_4.fsp,3,4,9,479,509.74609375,479.0,1.0,479.0,1.0
tai20_5_4.fsp,3,4,10,479,511.27734375,485.0,0.0,479.0,1.0
tai20_5_4.fsp,3,4,best,479,,479.046875,1.0,479.0,1.0
tai20_5_4.fsp,4,4,1,479,485.056640625,479.046875,0.9951171875,,
tai20_5_4.fsp,4,4,2,479,494.478515625,479.0,0.9990234375,479.0,0.9951171875
tai20_5_4.fsp,4,4,3,479,499.1171875,479.13671875,0.9990234375,479.0,0.9990234375
tai20_5_4.fsp,4,4,4,479,501.54296875,480.818359375,0.712890625,479.0,0.9990234375
tai20_5_4.fsp,4,4,5,479,505.00390625,479.0,1.0,479.0,0.9990234375
tai20_5_4.fsp,4,4,6,479,505.2421875,481.619140625,0.5830078125,479.0,1.0
tai20_5_4.fsp,4,4,7,479,507.0625,479.197265625,0.9873046875,479.0,1.0
tai20_5_4.fsp,4,4,8,479,507.087890625,479.693359375,0.9267578125,479.0,1.0
tai20_5_4.fsp,4,4,9,479,507.8125,479.0,0.998046875,479.0,1.0
tai20_5_4.fsp,4,4,10,479,508.52734375,485.072265625,0.0,479.0,1.0
tai20_5_4.fsp,4,4,best,479,,479.0,1.0,479.0,1.0
tai20_5_4.fsp,5,4,1,479,485.234375,479.017578125,0.9990234375,,
tai20_5_4.fsp,5,4,2,479,508.015625,481.42578125,0.564453125,479.0,0.9990234375
tai20_5_4.fsp,5,4,3,479,508.6796875,485.0,0.0,479.0,0.9990234375
tai20_5_4.fsp,5,4,4,479,511.05859375,479.0,1.0,479.0,0.9990234375
tai20_5_4.fsp,5,4,5,479,511.32421875,479.412109375,0.9658203125,479.0,1.0
tai20_5_4.fsp,5,4,6,479,512.560546875,482.115234375,0.4970703125,479.0,1.0
tai20_5_4.fsp,5,4,7,479,513.994140625,482.357421875,0.59765625,479.0,1.0
tai20_5_4.fsp,5,4,8,479,514.3046875,482.12890625,0.4951171875,479.0,1.0
tai20_5_4.fsp,5,4,9,479,514.69921875,481.900390625,0.498046875,479.0,1.0
tai20_5_4.fsp,5,4,10,479,515.892578125,479.099609375,0.9833984375,479.0,1.0
tai20_5_4.fsp,5,4,best,479,,479.0,1.0,479.0,1.0
tai20_5_5.fsp,1,4,1,399,427.869140625,399.0810546875,0.9990234375,,
tai20_5_5.fsp,1,4,2,399,432.8603515625,399.0888671875,0.9931640625,399.0,0.9990234375
tai20_5_5.fsp,1,4,3,399,434.2734375,419.0,0.0,399.0,0.9990234375
tai20_5_5.fsp,1,4,4,399,435.52734375,399.0,1.0,399.0,0.9990234375
tai20_5_5.fsp,1,4,5,399,435.8271484375,399.0830078125,0.9970703125,399.0,1.0
tai20_5_5.fsp,1,4,6,399,437.8828125,419.0,0.0,399.0,1.0
tai20_5_5.fsp,1,4,7,399,438.1669921875,399.0,1.0,399.0,1.0
tai20_5_5.fsp,1,4,8,399,439.208984375,404.927734375,0.5576171875,399.0,1.0
tai20_5_5.fsp,1,4,9,399,439.361328125,399.0,1.0,399.0,1.0
tai20_5_5.fsp,1,4,10,399,440.8720703125,408.751953125,0.40234375,399.0,1.0
tai20_5_5.fsp,1,4,best,399,,399.0,1.0,399.0,1.0
tai20_5_5.fsp,2,4,1,399,424.60546875,399.0,1.0,,
tai20_5_5.fsp,2,4,2,399,425.9619140625,399.0,1.0,399.0,1.0
tai20_5_5.fsp,2,4,3,399,426.8408203125,399.0,1.0,399.0,1.0
tai20_5_5.fsp,2,4,4,399,428.3359375,413.005859375,0.0,399.0,1.0
tai20_5_5.fsp,2,4,5,399,429.4365234375,399.13671875,0.9912109375,399.0,1.0
tai20_5_5.fsp,2,4,6,399,429.619140625,418.9384765625,0.0,399.0,1.0
tai20_5_5.fsp,2,4,7,399,430.4013671875,399.0,1.0,399.0,1.0
tai20_5_5.fsp,2,4,8,399,431.6337890625,419.0,0.0,399.0,1.0
tai20_5_5.fsp,2,4,9,399,432.0556640625,399.12109375,0.9921875,399.0,1.0
tai20_5_5.fsp,2,4,10,399,434.375,399.0,1.0,399.0,1.0
tai20_5_5.fsp,2,4,best,399,,399.0,1.0,399.0,1.0
tai20_5_5.fsp,3,4,1,399,424.1689453125,399.0,0.9990234375,,
tai20_5_5.fsp,3,4,2,399,427.59765625,419.076171875,0.0,399.0,0.9990234375
tai20_5_5.fsp,3,4,3,399,433.078125,399.0,1.0,399.0,0.9990234375
tai20_5_5.fsp,3,4,4,399,433.41015625,419.0478515625,0.0,399.0,1.0
tai20_5_5.fsp,3,4,5,399,433.8154296875,399.0,1.0,399.0,1.0
tai20_5_5.fsp,3,4,6,399,433.923828125,399.0,1.0,399.0,1.0
tai20_5_5.fsp,3,4,7,399,434.8984375,399.041015625,0.9951171875,399.0,1.0
tai20_5_5.fsp,3,4,8,399,437.04296875,413.0,0.0009765625,399.0,1.0
tai20_5_5.fsp,3,4,9,399,437.6875,419.0,0.0,399.0,1.0
tai20_5_5.fsp,3,4,10,399,438.3212890625,399.0,1.0,399.0,1.0
tai20_5_5.fsp,3,4,best,399,,399.0,1.0,399.0,1.0
tai20_5_5.fsp,4,4,1,399,431.3916015625,399.0,1.0,,
tai20_5_5.fsp,4,4,2,399,434.244140625,419.041015625,0.0,399.0,1.0
tai20_5_5.fsp,4,4,3,399,434.5205078125,399.0,1.0,399.0,1.0
tai20_5_5.fsp,4,4,4,399,435.958984375,399.0,1.0,399.0,1.0
tai20_5_5.fsp,4,4,5,399,436.5849609375,413.2890625,0.0,399.0,1.0
